Rating,Time,Units,Comments,Rating_2,Time_2,Units_2,Comments_2,Ratings_3,Units_3,Units_3,Comments_3
4,3,day,Y,5,2,day,,5,1,day,
5,6,day,,5,5,,,5,1,,
5,3,week,,4,6,,,5,1,,
5,3,,,5,1,week,,4,4,,
1,4,,,5,1,,,3,4,,
4,1,month,,5,1,,,5,5,,
5,1,,,3,1,,,5,5,,
4,1,,,4,1,,,5,1,week,
2,1,,,5,2,,,4,1,,Y
4,1,,Y,3,3,,Y,5,1,,
5,1,,Y,5,4,,,5,1,,Y
5,1,,,4,4,,,5,1,,Y
3,1,,,2,4,,Y,3,1,,Y
5,1,,Y,5,1,month,,3,2,,
2,1,,,4,1,,Y,4,2,,Y
4,1,,Y,5,1,,Y,1,2,,Y
5,2,,,5,1,,,4,2,,Y
5,2,,,5,1,,,4,2,,Y
3,2,,,3,1,,,2,2,,
5,2,,,5,1,,,5,2,,
4,2,,,4,1,,Y,4,2,,
1,3,,,5,1,,,5,2,,
5,3,,,5,1,,Y,4,3,,
4,3,,,5,2,,,5,3,,
1,3,,Y,1,2,,,5,3,,
4,3,,,4,2,,,5,3,,
4,3,,,4,2,,,1,3,,
3,3,,,4,2,,,4,4,,
5,4,,Y,5,2,,,5,4,,
5,4,,Y,4,2,,Y,5,1,month,Y
1,4,,Y,4,2,,,5,1,,
4,4,,Y,5,2,,,5,1,,Y
3,4,,,4,3,,,5,1,,
5,4,,,4,3,,,4,1,,Y
4,4,,,4,3,,,5,1,,
4,4,,,5,3,,,4,1,,
5,4,,,4,3,,,3,1,,
4,4,,Y,4,3,,Y,4,1,,Y
4,4,,Y,5,3,,Y,5,1,,
4,4,,Y,5,3,,,5,1,,
5,5,,,4,4,,,5,1,,Y
5,5,,Y,4,4,,Y,5,1,,Y
1,5,,Y,5,4,,Y,5,1,,
5,5,,,4,4,,,5,1,,
5,5,,,5,4,,Y,5,1,,
5,5,,Y,1,4,,Y,4,1,,
5,6,,Y,4,4,,Y,5,1,,Y
5,6,,,5,5,,,5,1,,Y
2,6,,,5,5,,,5,1,,Y
2,6,,Y,2,5,,Y,5,1,,Y
4,6,,,4,5,,Y,5,1,,Y
5,7,,Y,5,5,,,5,1,,Y
5,7,,Y,5,6,,,5,1,,Y
1,7,,,5,6,,Y,5,1,,
5,7,,Y,5,6,,,4,1,,
4,7,,,5,6,,,5,2,,
5,7,,,5,6,,Y,4,2,,Y
5,7,,,5,6,,Y,4,2,,
5,7,,,1,7,,,1,2,,
4,8,,Y,5,7,,Y,3,2,,Y
4,8,,Y,5,7,,Y,5,1,,Y
4,8,,Y,3,7,,,4,2,,Y
5,8,,Y,1,7,,Y,4,2,,Y
5,8,,Y,4,7,,,5,2,,Y
4,9,,,3,7,,Y,4,2,,
5,9,,,3,7,,Y,5,2,,Y
4,9,,,5,7,,,5,2,,
4,9,,Y,3,7,,,5,2,,
5,9,,Y,5,7,,,5,2,,
4,9,,,4,7,,,5,2,,
5,9,,,4,7,,Y,3,2,,
5,9,,Y,4,8,,,5,2,,
5,9,,,1,8,,Y,3,2,,Y
3,9,,,5,8,,,5,2,,
5,10,,,5,8,,,4,2,,Y
5,10,,,5,8,,,5,2,,
4,10,,,5,8,,,1,2,,Y
5,10,,Y,4,8,,Y,5,2,,Y
5,10,,,4,8,,Y,4,2,,Y
2,10,,,5,8,,Y,5,2,,
4,10,,,1,8,,Y,5,2,,
5,11,,,4,9,,Y,5,2,,
2,11,,,5,9,,,4,2,,
4,11,,,5,9,,,5,2,,Y
5,11,,,4,9,,,4,2,,
3,11,,Y,5,9,,Y,5,3,,
4,11,,Y,3,9,,,5,3,,Y
1,11,,,4,9,,Y,5,3,,
4,11,,,5,9,,,5,3,,
5,11,,Y,4,9,,Y,3,3,,
3,11,,,5,9,,,4,3,,Y
4,11,,Y,3,9,,Y,4,3,,
5,11,,,3,9,,Y,5,3,,
5,11,,,5,10,,,5,3,,
5,11,,,5,10,,,5,3,,
3,11,,Y,5,10,,,4,3,,Y
4,1,year,Y,5,10,,Y,5,3,,
3,1,,,5,10,,,4,3,,Y
3,1,,,2,10,,Y,5,3,,
4,1,,,3,10,,Y,5,3,,
4,1,,Y,4,10,,,5,3,,
5,1,,Y,4,10,,Y,5,3,,
4,1,,Y,5,10,,,5,3,,Y
5,1,,,5,10,,,5,3,,
4,1,,Y,5,10,,Y,5,3,,
4,1,,,4,11,,Y,5,3,,
4,1,,,5,11,,,5,3,,
5,1,,,4,11,,Y,5,3,,Y
5,1,,,4,11,,,4,3,,
5,1,,,1,11,,Y,2,3,,
5,1,,Y,5,11,,,5,3,,
5,1,,,4,11,,,1,3,,Y
4,1,,,5,11,,,1,3,,Y
,,Earliest review:,,5,11,,Y,5,3,,Y
,,Just over 5 years ago,,4,11,,,5,3,,Y
,,481 reviews,,4,11,,,4,3,,
,,,,1,11,,,5,3,,Y
,,,,3,1,year,,~9.83 reviews/year (2),,,
,,,,4,1,,,,,,
,,,,5,1,,Y,,,,
,,,,4,1,,,,,,
,,,,5,1,,Y,,,,
,,,,4,1,,,,,,
,,,,4,1,,,,,,
,,,,5,1,,,,,,
,,,,4,1,,,,,,
,,,,5,1,,,,,,
,,,,4,1,,,,,,
,,,,5,1,,,,,,
,,,,1,1,,,,,,
,,,,1,1,,,,,,
,,,,5,1,,,,,,
,,,,3,1,,Y,,,,
,,,,5,1,,,,,,
,,,,3,1,,,,,,
,,,,4,1,,Y,,,,
,,,,,,Earliest review:,,,,,
,,,,,,Around 5 years ago,,,,,
,,,,,,489 reviews,,,,,
